-74.28515,40.95704,"McDonalds Ponds _01gn","McDonalds Ponds"
-74.19515,41.02649,"Sturr Pond _01gq","Sturr Pond"
-73.51679,41.46648,"Merton Mill Pond _053c","Merton Mill Pond"
-74.33543,40.71566,"Briant Pond _01gx","Briant Pond"
-72.78204,41.48371,"North Farms Reservoir _01g3","North Farms Reservoir"
-74.5171,40.56788,"Lake Creighton _01h9","Lake Creighton"
-74.19959,40.14678,"Cascade Lake _01hb","Cascade Lake"
-74.60849,40.31511,"Grovers Mill Pond _01hc","Grovers Mill Pond"
-74.29292,40.00845,"Bunker Hill Pond _01hd","Bunker Hill Pond"
-74.1782,40.04928,"Lake Wadill _01he","Lake Wadill"
-74.08625,40.35344,"Shadow Lake _01hf","Shadow Lake"
-74.15431,40.33428,"Marlu Lake _01hg","Marlu Lake"
-74.1632,41.05426,"Suraci Pond _01gr","Suraci Pond"
-73.37512,41.1401,"Nash Pond _01fd","Nash Pond"
-73.12372,41.5551,"Miry Dam Pond _01ei","Miry Dam Pond"
-72.93871,41.51565,"Mixville Pond _01el","Mixville Pond"
-73.14067,41.58399,"Morehouse Pond _01es","Morehouse Pond"
-73.09872,41.67343,"Morton Pond _01ev","Morton Pond"
-73.12344,41.21537,"Motil Pond _01ew","Motil Pond"
-73.03233,41.48426,"Mulberry Reservoir _01f4","Mulberry Reservoir"
-73.46207,41.22621,"Mullens Pond _01f7","Mullens Pond"
-73.00122,41.47871,"Old Naugatuck Reservoir _01gd","Old Naugatuck Reservoir"
-73.5079,41.32232,"Lake Naraneka _01fb","Lake Naraneka"
-73.53846,41.1251,"North Stamford Reservoir _01g5","North Stamford Reservoir"
-72.93538,41.60954,"New Britain Reservoir _01fj","New Britain Reservoir"
-73.51401,41.17732,"New Canaan Reservoir _01fk","New Canaan Reservoir"
-72.98649,41.46621,"New Naugatuck Reservoir _01fl","New Naugatuck Reservoir"
-73.13678,41.41621,"Nichols Pond _01fn","Nichols Pond"
-73.06511,41.21371,"Walker Pond _01fp","Walker Pond"
-73.45901,41.26426,"Noroneke Lake _01fu","Noroneke Lake"
-74.66294,41.03343,"Upper Mohawk Lake _01hk","Upper Mohawk Lake"
-73.29956,41.36926,"Myers Pond _01fa","Myers Pond"
-73.49401,41.21621,"Browns Reservoir _01ko","Browns Reservoir"
-74.49404,40.82454,"Jaqui Pond _01hh","Jaqui Pond"
-73.77819,40.93121,"Beechmont Lake _01jf","Beechmont Lake"
-73.34206,40.73482,"Belmont Lake _01ji","Belmont Lake"
-72.88038,40.77343,"Big Fish Creek Pond _01jr","Big Fish Creek Pond"
-73.75902,41.02093,"Bloomingdale Pond _01jx","Bloomingdale Pond"
-74.07959,41.15565,"Bockar Lake _01k2","Bockar Lake"
-73.59179,41.41287,"Bog Brook Reservoir _01k3","Bog Brook Reservoir"
-72.66121,40.82371,"Beaverdam Pond _01ja","Beaverdam Pond"
-74.0507,41.50759,"Brookside Pond _01kk","Brookside Pond"
-74.12153,41.43454,"Beaverdam Lake _01j9","Beaverdam Lake"
-72.4037,41.07454,"Budds Pond _01ks","Budds Pond"
-73.90569,41.3037,"Camp Field Reservoir _01l5","Camp Field Reservoir"
-73.80902,41.1701,"Campfire Lake _01l7","Campfire Lake"
-73.02094,40.78538,"Canaan Lake _01l8","Canaan Lake"
-73.3004,40.69677,"Lake Capri _01le","Lake Capri"
-73.66568,41.45815,"Lake Carmel _01li","Lake Carmel"
-73.09622,41.55982,"Sperry Pond _05fs","Sperry Pond"
-74.01986,41.43009,"Breeds Pond _01kb","Breeds Pond"
-72.58898,40.83704,"Alcotts Pond _01i7","Alcotts Pond"
-73.21956,41.22343,"Horse Tavern Reservoir _0525","Horse Tavern Reservoir"
-74.16459,40.99843,"Rambaut Lake _01hl","Rambaut Lake"
-74.15737,40.99843,"Maple Lake _01hm","Maple Lake"
-74.36404,40.99232,"Kakeout Reservoir _01hn","Kakeout Reservoir"
-74.74627,40.34427,"Stony Brook Fourteen Basin _01ho","Stony Brook Fourteen Basin"
-74.35043,40.62844,"Shackamaxon Lake _01hp","Shackamaxon Lake"
-74.28515,40.62844,"Jacksons Pond _01hq","Jacksons Pond"
-73.81847,41.12398,"Beech Hill Pond _01jd","Beech Hill Pond"
-74.34265,39.60234,"Pohatcong Lake _01hs","Pohatcong Lake"
-74.38599,41.00232,"Cantys Lake _01hj","Cantys Lake"
-74.16487,41.35398,"Amdur Park Lake _01ic","Amdur Park Lake"
-74.14403,41.12148,"Lake Antrim _01ie","Lake Antrim"
-72.93149,40.88399,"Artist Lake _01ih","Artist Lake"
-74.21876,41.93843,"Ashokan Reservoir _01ij","Ashokan Reservoir"
-73.41318,40.67427,"Avon Lake _01in","Avon Lake"
-73.78513,40.67788,"Baisley Pond _01io","Baisley Pond"
-73.77069,41.14315,"Bear Ridge Lake _01j6","Bear Ridge Lake"
-74.29793,40.62844,"Bloodgoods Pond _01hr","Bloodgoods Pond"
-74.26515,40.76871,"Cable Lake _05ql","Cable Lake"
-74.23348,41.10371,"Brushwood Pond _05q4","Brushwood Pond"
-74.62738,40.82954,"Bryant Pond _05q5","Bryant Pond"
-74.38293,41.08926,"Bubbling Spring Lake _05q6","Bubbling Spring Lake"
-74.1982,40.28622,"Bucks Pond _05q8","Bucks Pond"
-74.75128,40.86315,"Budd Lake _05q9","Budd Lake"
-74.18014,41.03065,"Bunker Pond _05qa","Bunker Pond"
-74.26709,40.96843,"Alexanders Pond _05ns","Alexanders Pond"
-74.36571,40.9901,"Butler Reservoir _05qh","Butler Reservoir"
-74.51599,40.30983,"Brainerd Lake _05pv","Brainerd Lake"
-74.22792,41.0251,"Caille Lake _05qo","Caille Lake"
-74.13153,41.07093,"Camp Hlond Reservoir _05qr","Camp Hlond Reservoir"
-74.30487,40.73649,"Campbells Pond _05qt","Campbells Pond"
-74.13014,41.0526,"Canns Lake _05qu","Canns Lake"
-74.35209,40.75093,"Canoe Brook Reservoir One _05qw","Canoe Brook Reservoir Number One"
-74.36154,40.78121,"Canoe Brook Reservoir Two _05qx","Canoe Brook Reservoir Number Two"
-74.22459,40.09262,"Lake Carasaljo _05qy","Lake Carasaljo"
-74.3257,40.76149,"Butler Pond _05qg","Butler Pond"
-74.35987,41.03287,"Bear Swamp Lake _05ox","Bear Swamp Lake"
-73.21706,41.35121,"Smith Pond _05fe","Smith Pond"
-74.09848,41.07732,"Anona Lake _05o2","Anona Lake"
-74.46488,40.89038,"Arrowhead Lake _05o8","Arrowhead Lake"
-74.22209,41.00565,"Baker Pond _05of","Baker Pond"
-74.18237,40.89954,"Barbour Pond _05oi","Barbour Pond"
-74.22654,40.9601,"Barbour Pond _05oj","Barbour Pond"
-74.19986,39.8404,"Lake Barnegat _05ol","Lake Barnegat"
-74.56071,40.8926,"Brownwood Pond _05q3","Brownwood Pond"
-74.18737,40.85343,"Basking Reservoir _05oo","Basking Reservoir"
-74.64488,40.43399,"Bridgepoint Lake _05q0","Bridgepoint Lake"
-74.4096,40.83343,"Bee Meadow Pond _05p4","Bee Meadow Pond"
-74.44876,40.63955,"Best Lake _05pe","Best Lake"
-74.45127,40.89343,"Birchwood Lake _05pg","Birchwood Lake"
-74.03431,40.98649,"Bogert Pond _05pp","Bogert Pond"
-74.33487,41.01399,"Bogues Pond _05pq","Bogues Pond"
-74.5596,40.89593,"Bowlby Pond _05pu","Bowlby Pond"
-74.21598,40.85316,"Cedar Grove Reservoir _05rb","Cedar Grove Reservoir"
-74.43877,41.19843,"Barry Lakes _05om","Barry Lakes"
-74.10292,40.87954,"Dahnerts Lake _05ta","Dahnerts Lake"
-74.62155,40.37038,"Carnegie Lake _05qz","Carnegie Lake"
-74.28265,40.96538,"Crestmere Lake _05sx","Crestmere Lake"
-74.13737,41.03343,"Crestwood Lake _05sy","Crestwood Lake"
-74.24765,40.80093,"Crystal Lake _05t2","Crystal Lake"
-74.45293,40.8901,"Crystal Lake _05t3","Crystal Lake"
-74.24292,41.03287,"Crystal Lake _05t4","Crystal Lake"
-74.73461,40.97121,"Cub Lake _05t7","Cub Lake"
-73.94319,41.01121,"Cooper Pond _05sj","Cooper Pond"
-74.776,40.62094,"Cushetunk Lake _05t9","Cushetunk Lake"
-74.46099,40.8926,"Cooper Lake _05sh","Cooper Lake"
-74.57849,40.85343,"Dalrymple Pond _05tb","Dalrymple Pond"
-74.17487,41.06315,"Darlington Lake _05tc","Darlington Lake"
-74.19348,41.0251,"De Yoe Pond _05th","De Yoe Pond"
-74.39071,40.39011,"DeVoe Lake _05ti","DeVoe Lake"
-73.99625,40.23011,"Deal Lake _05tk","Deal Lake"
-74.52265,40.399,"Deans Pond _05tl","Deans Pond"
-74.20931,39.85095,"Deer Head Lake _05ts","Deer Head Lake"
-74.25126,41.11093,"Cupsaw Lake _05t8","Cupsaw Lake"
-74.35098,41.01288,"Cold Spring Lake _05rx","Cold Spring Lake"
-74.2532,40.149,"Aldrich Lake _05nr","Aldrich Lake"
-74.46904,40.91038,"Cedar Lake _05rc","Cedar Lake"
-74.77794,40.27316,"Ceva Lake _05rg","Ceva Lake"
-74.59988,40.83427,"Lake Cherokee _05rk","Lake Cherokee"
-74.54682,40.90121,"Clark Pond _05rp","Clark Pond"
-74.21681,41.0076,"Clark Pond _05rq","Clark Pond"
-74.17959,40.8251,"Clarks Pond _05rr","Clarks Pond"
-74.5046,41.01676,"Cozy Lake _05sp","Cozy Lake"
-74.61155,41.2151,"Clove Acres Lake _05ru","Clove Acres Lake"
-74.40793,40.6001,"Cedar Brook Lake _05r9","Cedar Brook Lake"
-74.72266,40.25511,"Colonial Lake _05s0","Colonial Lake"
-74.0268,40.16623,"Lake Como _05s6","Lake Como"
-74.07514,41.07287,"Connoley Lake _05s7","Connoley Lake"
-74.22459,41.01676,"Conrad Pond _05s8","Conrad Pond"
-74.58571,40.17594,"Conines Millpond _05sa","Conines Millpond"
-74.45877,40.91149,"Cooks Pond _05sd","Cooks Pond"
-74.17237,41.02982,"Cooks Pond _05se","Cooks Pond"
-74.26681,41.05926,"Clots Lake _05rt","Clots Lake"
-73.52596,41.31371,"Turtle Pond _05i6","Turtle Pond"
-73.67346,41.05676,"Toll Gate Pond _05hd","Toll Gate Pond"
-72.68787,41.29232,"Town Millpond _05hj","Town Millpond"
-73.08344,41.54899,"Tracys Pond _05hn","Tracys Pond"
-73.46401,41.17482,"Trails End Pond _05ho","Trails End Pond"
-73.23595,41.51426,"Transylvania Pond _05hq","Transylvania Pond"
-73.14094,41.26454,"Trap Falls Reservoir _05hr","Trap Falls Reservoir"
-74.50238,40.95315,"Lake Ames _05nw","Lake Ames"
-72.91594,41.38454,"Turners Pond _05i5","Turners Pond"
-73.46762,41.18093,"Thayers Pond _05h8","Thayers Pond"
-73.47873,41.40454,"Turtle Pond _05i7","Turtle Pond"
-73.02622,41.50815,"Union Ice Company Pond _05ib","Union Ice Company Pond"
-73.04011,41.57204,"Upper Fulton Park Pond _05ic","Upper Fulton Park Pond"
-73.48985,41.42287,"Upper Kohanza Lake _05id","Upper Kohanza Lake"
-73.0215,41.6851,"Upper Pond _05ie","Upper Pond"
-73.46012,41.41009,"Lake Wackawana _05ik","Lake Wackawana"
-72.78982,41.29593,"Wards Millpond _05is","Wards Millpond"
-73.11539,41.29899,"Tri-Lake _05hs","Tri-Lake"
-73.45346,41.21676,"Streets Pond _05gj","Streets Pond"
-73.48262,41.14704,"Mill Pond _01eb","Mill Pond"
-73.07955,41.36787,"Spring Lake _05fy","Spring Lake"
-72.76926,41.46982,"Spring Lake _05fz","Spring Lake"
-73.46123,41.17287,"Spruce Pond _05g4","Spruce Pond"
-73.50485,41.43343,"Sterns Pond _05g8","Sterns Pond"
-73.17122,41.19649,"Stillman Pond _05gb","Stillman Pond"
-73.55707,41.07287,"Stillwater Pond _05gc","Stillwater Pond"
-72.69482,41.31288,"Thirsty Lake _05hb","Thirsty Lake"
-73.4529,41.07537,"Streets Pond _05gi","Streets Pond"
-72.96427,41.5626,"Theriaults Ice Pond _05ha","Theriaults Ice Pond"
-73.16483,41.21093,"Success Lake _05go","Success Lake"
-73.10955,41.41815,"Swan Lake _05gu","Swan Lake"
-72.8376,41.26176,"Talmage Pond _05gx","Talmage Pond"
